xflr5 v6.61

Plane name :, 3213 50% with 15 deg flap
Polar name :, Take-off Data for 3213 50% with 15 deg flap at 46.5 m/s and 2000.0kg
Freestream speed :, 46.5 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    0.000,     0.000,   0.620256,   0.015374,   0.009098,   0.024473,   0.000000,  -0.000000,  -0.297633,   0.000000,   0.000000,   46.4700,    0.6343
    0.500,     0.000,   0.666545,   0.017167,   0.009016,   0.026183,   0.000000,  -0.000000,  -0.309667,   0.000000,   0.000000,   46.4700,    0.6131
    1.000,     0.000,   0.711470,   0.019038,   0.009002,   0.028040,   0.000000,  -0.000000,  -0.320924,   0.000000,   0.000000,   46.4700,    0.5945
    1.500,     0.000,   0.755965,   0.021018,   0.009019,   0.030037,   0.000000,  -0.000000,  -0.331918,   0.000000,   0.000000,   46.4700,    0.5779
    2.000,     0.000,   0.800228,   0.023112,   0.009067,   0.032179,   0.000000,  -0.000000,  -0.342759,   0.000000,   0.000000,   46.4700,    0.5631
    2.500,     0.000,   0.844197,   0.025327,   0.009144,   0.034470,   0.000000,  -0.000000,  -0.353415,   0.000000,   0.000000,   46.4700,    0.5496
    3.000,     0.000,   0.887953,   0.027664,   0.009231,   0.036896,   0.000000,  -0.000000,  -0.363944,   0.000000,   0.000000,   46.4700,    0.5374
    3.500,     0.000,   0.931772,   0.030134,   0.009334,   0.039468,   0.000000,  -0.000000,  -0.374502,   0.000000,   0.000000,   46.4700,    0.5262
    4.000,     0.000,   0.975729,   0.032721,   0.009461,   0.042182,   0.000000,  -0.000000,  -0.385101,   0.000000,   0.000000,   46.4700,    0.5160
    4.500,     0.000,   1.019923,   0.035437,   0.009602,   0.045039,   0.000000,  -0.000000,  -0.395807,   0.000000,   0.000000,   46.4700,    0.5066
    5.000,     0.000,   1.064262,   0.038281,   0.009767,   0.048047,   0.000000,  -0.000000,  -0.406566,   0.000000,   0.000000,   46.4700,    0.4980
    5.500,     0.000,   1.108919,   0.041250,   0.009956,   0.051206,   0.000000,  -0.000000,  -0.417463,   0.000000,   0.000000,   46.4700,    0.4899
    6.000,     0.000,   1.153230,   0.044322,   0.010188,   0.054510,   0.000000,  -0.000000,  -0.428189,   0.000000,   0.000000,   46.4700,    0.4825
    6.500,     0.000,   1.196988,   0.047508,   0.010450,   0.057958,   0.000000,  -0.000000,  -0.438659,   0.000000,   0.000000,   46.4700,    0.4754
    7.000,     0.000,   1.239909,   0.050768,   0.010723,   0.061491,   0.000000,  -0.000000,  -0.448683,   0.000000,   0.000000,   46.4700,    0.4686
    7.500,     0.000,   1.283086,   0.054187,   0.010973,   0.065160,   0.000000,  -0.000000,  -0.458856,   0.000000,   0.000000,   46.4700,    0.4623
    8.000,     0.000,   1.325163,   0.057687,   0.011252,   0.068938,   0.000000,  -0.000000,  -0.468538,   0.000000,   0.000000,   46.4700,    0.4562
    8.500,     0.000,   1.366814,   0.061244,   0.011555,   0.072800,   0.000000,  -0.000000,  -0.477975,   0.000000,   0.000000,   46.4700,    0.4503
    9.000,     0.000,   1.407627,   0.064853,   0.011894,   0.076747,   0.000000,  -0.000000,  -0.487025,   0.000000,   0.000000,   46.4700,    0.4445
    9.500,     0.000,   1.447251,   0.068459,   0.012321,   0.080780,   0.000000,  -0.000000,  -0.495494,   0.000000,   0.000000,   46.4700,    0.4389
   10.000,     0.000,   1.485640,   0.072082,   0.012892,   0.084974,   0.000000,  -0.000000,  -0.503388,   0.000000,   0.000000,   46.4700,    0.4334
   10.500,     0.000,   1.527686,   0.075903,   0.013764,   0.089667,   0.000000,  -0.000000,  -0.512602,   0.000000,   0.000000,   46.4700,    0.4281
   11.000,     0.000,   1.567461,   0.079661,   0.014776,   0.094437,   0.000000,  -0.000000,  -0.520828,   0.000000,   0.000000,   46.4700,    0.4228
   11.500,     0.000,   1.611482,   0.083922,   0.016059,   0.099981,   0.000000,  -0.000000,  -0.530685,   0.000000,   0.000000,   46.4700,    0.4180
   12.000,     0.000,   1.653783,   0.088191,   0.017459,   0.105650,   0.000000,  -0.000000,  -0.539743,   0.000000,   0.000000,   46.4700,    0.4133
   12.500,     0.000,   1.702079,   0.093322,   0.018959,   0.112280,   0.000000,  -0.000000,  -0.551309,   0.000000,   0.000000,   46.4700,    0.4093
   13.000,     0.000,   1.746181,   0.098336,   0.020352,   0.118688,   0.000000,  -0.000000,  -0.561264,   0.000000,   0.000000,   46.4700,    0.4053
   13.500,     0.000,   1.784096,   0.102869,   0.021724,   0.124593,   0.000000,  -0.000000,  -0.568683,   0.000000,   0.000000,   46.4700,    0.4009
   14.000,     0.000,   1.815435,   0.106798,   0.023118,   0.129916,   0.000000,  -0.000000,  -0.573542,   0.000000,   0.000000,   46.4700,    0.3961
   14.500,     0.000,   1.844903,   0.110691,   0.024672,   0.135363,   0.000000,  -0.000000,  -0.577634,   0.000000,   0.000000,   46.4700,    0.3913
   15.000,     0.000,   1.873567,   0.114628,   0.026355,   0.140983,   0.000000,  -0.000000,  -0.581593,   0.000000,  -0.000000,   46.4700,    0.3866
   15.500,     0.000,   1.898134,   0.118051,   0.028090,   0.146141,   0.000000,  -0.000000,  -0.584109,   0.000000,   0.000000,   46.4700,    0.3818
   16.000,     0.000,   1.919718,   0.121110,   0.029988,   0.151098,   0.000000,  -0.000000,  -0.585594,   0.000000,   0.000000,   46.4700,    0.3770
   16.500,     0.000,   1.936997,   0.123783,   0.032291,   0.156074,   0.000000,  -0.000000,  -0.585775,   0.000000,   0.000000,   46.4700,    0.3721


