xflr5 v6.61

Plane name :, 3213 50% with 30 deg flap
Polar name :, Take-off Data for 3213 50% with 30 deg flap at 46.5 m/s and 2000.0kg
Freestream speed :, 46.5 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    1.000,     0.000,   0.886836,   0.032098,   0.023363,   0.055461,   0.000000,  -0.000000,  -0.401132,   0.000000,   0.000000,   46.4700,    0.5931
    1.500,     0.000,   0.929902,   0.034371,   0.023431,   0.057802,   0.000000,  -0.000000,  -0.411289,   0.000000,   0.000000,   46.4700,    0.5792
    2.000,     0.000,   0.972626,   0.036768,   0.023520,   0.060288,   0.000000,  -0.000000,  -0.421280,   0.000000,   0.000000,   46.4700,    0.5664
    2.500,     0.000,   1.015498,   0.039283,   0.023626,   0.062909,   0.000000,  -0.000000,  -0.431332,   0.000000,   0.000000,   46.4700,    0.5547
    3.000,     0.000,   1.058387,   0.041914,   0.023740,   0.065654,   0.000000,  -0.000000,  -0.441390,   0.000000,   0.000000,   46.4700,    0.5439
    3.500,     0.000,   1.101489,   0.044666,   0.023867,   0.068533,   0.000000,  -0.000000,  -0.451531,   0.000000,   0.000000,   46.4700,    0.5339
    4.000,     0.000,   1.144528,   0.047529,   0.024002,   0.071532,   0.000000,  -0.000000,  -0.461622,   0.000000,   0.000000,   46.4700,    0.5245
    4.500,     0.000,   1.187714,   0.050515,   0.024152,   0.074666,   0.000000,  -0.000000,  -0.471776,   0.000000,   0.000000,   46.4700,    0.5158
    5.000,     0.000,   1.231161,   0.053598,   0.024310,   0.077909,   0.000000,  -0.000000,  -0.482018,   0.000000,   0.000000,   46.4700,    0.5076
    5.500,     0.000,   1.274498,   0.056817,   0.024478,   0.081295,   0.000000,  -0.000000,  -0.492224,   0.000000,   0.000000,   46.4700,    0.4999
    6.000,     0.000,   1.316548,   0.060103,   0.024656,   0.084759,   0.000000,  -0.000000,  -0.501778,   0.000000,   0.000000,   46.4700,    0.4925
    6.500,     0.000,   1.359264,   0.063540,   0.024836,   0.088375,   0.000000,  -0.000000,  -0.511644,   0.000000,   0.000000,   46.4700,    0.4856
    7.000,     0.000,   1.401417,   0.067067,   0.025033,   0.092100,   0.000000,  -0.000000,  -0.521249,   0.000000,   0.000000,   46.4700,    0.4789
    7.500,     0.000,   1.442262,   0.070653,   0.025250,   0.095903,   0.000000,  -0.000000,  -0.530245,   0.000000,   0.000000,   46.4700,    0.4725
    8.000,     0.000,   1.482842,   0.074302,   0.025489,   0.099791,   0.000000,  -0.000000,  -0.539080,   0.000000,   0.000000,   46.4700,    0.4663
    8.500,     0.000,   1.521632,   0.077886,   0.025776,   0.103662,   0.000000,  -0.000000,  -0.547047,   0.000000,   0.000000,   46.4700,    0.4601
    9.000,     0.000,   1.558909,   0.081416,   0.026147,   0.107563,   0.000000,  -0.000000,  -0.554283,   0.000000,   0.000000,   46.4700,    0.4541
    9.500,     0.000,   1.594514,   0.084876,   0.026620,   0.111496,   0.000000,  -0.000000,  -0.560741,   0.000000,   0.000000,   46.4700,    0.4481
   10.000,     0.000,   1.640268,   0.088849,   0.027485,   0.116334,   0.000000,  -0.000000,  -0.571286,   0.000000,   0.000000,   46.4700,    0.4427
   10.500,     0.000,   1.678546,   0.092539,   0.028338,   0.120876,   0.000000,  -0.000000,  -0.578715,   0.000000,   0.000000,   46.4700,    0.4371
   11.000,     0.000,   1.722961,   0.096744,   0.029472,   0.126216,   0.000000,  -0.000000,  -0.588622,   0.000000,   0.000000,   46.4700,    0.4321
   11.500,     0.000,   1.766951,   0.101140,   0.030704,   0.131844,   0.000000,  -0.000000,  -0.598412,   0.000000,   0.000000,   46.4700,    0.4273
   12.000,     0.000,   1.811303,   0.105864,   0.032105,   0.137969,   0.000000,  -0.000000,  -0.608348,   0.000000,   0.000000,   46.4700,    0.4228
   12.500,     0.000,   1.848786,   0.110107,   0.033487,   0.143593,   0.000000,  -0.000000,  -0.615440,   0.000000,   0.000000,   46.4700,    0.4179
   13.000,     0.000,   1.883513,   0.114272,   0.035077,   0.149348,   0.000000,  -0.000000,  -0.621445,   0.000000,   0.000000,   46.4700,    0.4131
   13.500,     0.000,   1.910479,   0.117697,   0.036964,   0.154661,   0.000000,  -0.000000,  -0.624267,   0.000000,   0.000000,   46.4700,    0.4078
   14.000,     0.000,   1.935179,   0.120942,   0.038898,   0.159841,   0.000000,  -0.000000,  -0.626380,   0.000000,   0.000000,   46.4700,    0.4025
   14.500,     0.000,   1.958127,   0.124178,   0.041095,   0.165272,   0.000000,  -0.000000,  -0.627955,   0.000000,   0.000000,   46.4700,    0.3974


