xflr5 v6.61

Plane name :, 3213 50% with 25 deg flap
Polar name :, Landing Data for 3213 50% with 25 deg flap at 40.28 m/s and 2000.0kg
Freestream speed :, 40.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    0.500,     0.000,   0.793204,   0.025949,   0.017520,   0.043469,   0.000000,  -0.000000,  -0.369185,   0.000000,   0.000000,   40.2800,    0.6121
    1.000,     0.000,   0.836775,   0.028017,   0.017576,   0.045592,   0.000000,  -0.000000,  -0.379634,   0.000000,   0.000000,   40.2800,    0.5960
    1.500,     0.000,   0.879898,   0.030200,   0.017644,   0.047845,   0.000000,  -0.000000,  -0.389861,   0.000000,   0.000000,   40.2800,    0.5813
    2.000,     0.000,   0.922680,   0.032494,   0.017734,   0.050228,   0.000000,  -0.000000,  -0.399884,   0.000000,   0.000000,   40.2800,    0.5679
    2.500,     0.000,   0.965342,   0.034904,   0.017854,   0.052758,   0.000000,  -0.000000,  -0.409823,   0.000000,   0.000000,   40.2800,    0.5555
    3.000,     0.000,   1.008557,   0.037441,   0.017977,   0.055417,   0.000000,  -0.000000,  -0.420043,   0.000000,   0.000000,   40.2800,    0.5443
    3.500,     0.000,   1.051852,   0.040099,   0.018120,   0.058219,   0.000000,  -0.000000,  -0.430286,   0.000000,   0.000000,   40.2800,    0.5338
    4.000,     0.000,   1.095296,   0.042883,   0.018288,   0.061171,   0.000000,  -0.000000,  -0.440587,   0.000000,   0.000000,   40.2800,    0.5242
    4.500,     0.000,   1.139254,   0.045799,   0.018471,   0.064270,   0.000000,  -0.000000,  -0.451122,   0.000000,   0.000000,   40.2800,    0.5152
    5.000,     0.000,   1.183487,   0.048843,   0.018664,   0.067508,   0.000000,  -0.000000,  -0.461770,   0.000000,   0.000000,   40.2800,    0.5069
    5.500,     0.000,   1.227159,   0.052004,   0.018869,   0.070873,   0.000000,  -0.000000,  -0.472148,   0.000000,   0.000000,   40.2800,    0.4991
    6.000,     0.000,   1.270278,   0.055275,   0.019087,   0.074363,   0.000000,  -0.000000,  -0.482248,   0.000000,   0.000000,   40.2800,    0.4916
    6.500,     0.000,   1.312818,   0.058624,   0.019320,   0.077944,   0.000000,  -0.000000,  -0.492044,   0.000000,   0.000000,   40.2800,    0.4846
    7.000,     0.000,   1.355249,   0.062112,   0.019547,   0.081658,   0.000000,  -0.000000,  -0.501810,   0.000000,   0.000000,   40.2800,    0.4778
    7.500,     0.000,   1.397051,   0.065684,   0.019786,   0.085470,   0.000000,  -0.000000,  -0.511285,   0.000000,   0.000000,   40.2800,    0.4714
    8.000,     0.000,   1.437826,   0.069279,   0.020067,   0.089346,   0.000000,  -0.000000,  -0.520249,   0.000000,   0.000000,   40.2800,    0.4651
    8.500,     0.000,   1.477934,   0.072924,   0.020366,   0.093290,   0.000000,  -0.000000,  -0.528886,   0.000000,   0.000000,   40.2800,    0.4591
    9.000,     0.000,   1.516872,   0.076557,   0.020725,   0.097282,   0.000000,  -0.000000,  -0.536949,   0.000000,   0.000000,   40.2800,    0.4531
    9.500,     0.000,   1.553911,   0.080099,   0.021205,   0.101303,   0.000000,  -0.000000,  -0.544104,   0.000000,   0.000000,   40.2800,    0.4472
   10.000,     0.000,   1.597310,   0.083967,   0.022047,   0.106015,   0.000000,  -0.000000,  -0.553748,   0.000000,   0.000000,   40.2800,    0.4417
   10.500,     0.000,   1.636186,   0.087632,   0.022984,   0.110617,   0.000000,  -0.000000,  -0.561415,   0.000000,   0.000000,   40.2800,    0.4361
   11.000,     0.000,   1.678152,   0.091629,   0.024188,   0.115817,   0.000000,  -0.000000,  -0.570313,   0.000000,   0.000000,   40.2800,    0.4309
   11.500,     0.000,   1.721905,   0.095932,   0.025507,   0.121440,   0.000000,  -0.000000,  -0.579957,   0.000000,   0.000000,   40.2800,    0.4260
   12.000,     0.000,   1.767465,   0.100677,   0.026958,   0.127635,   0.000000,  -0.000000,  -0.590387,   0.000000,   0.000000,   40.2800,    0.4215
   12.500,     0.000,   1.804819,   0.104859,   0.028520,   0.133379,   0.000000,  -0.000000,  -0.597338,   0.000000,   0.000000,   40.2800,    0.4166
   13.000,     0.000,   1.838980,   0.108889,   0.030157,   0.139046,   0.000000,  -0.000000,  -0.603033,   0.000000,   0.000000,   40.2800,    0.4116
   13.500,     0.000,   1.870121,   0.112742,   0.031851,   0.144593,   0.000000,  -0.000000,  -0.607619,   0.000000,   0.000000,   40.2800,    0.4066
   14.000,     0.000,   1.897018,   0.116213,   0.033596,   0.149809,   0.000000,  -0.000000,  -0.610658,   0.000000,   0.000000,   40.2800,    0.4015
   14.500,     0.000,   1.921297,   0.119603,   0.035724,   0.155327,   0.000000,  -0.000000,  -0.612764,   0.000000,   0.000000,   40.2800,    0.3964
   15.000,     0.000,   1.943360,   0.122845,   0.038061,   0.160905,   0.000000,  -0.000000,  -0.614221,   0.000000,   0.000000,   40.2800,    0.3914
   15.500,     0.000,   1.959496,   0.125245,   0.040599,   0.165844,   0.000000,  -0.000000,  -0.613608,   0.000000,   0.000000,   40.2800,    0.3862


