xflr5 v6.61

Plane name :, 3213 50% with 15 deg flap
Polar name :, Landing Data for 3213 50% with 15 deg flap at 40.28 m/s and 2000.0kg
Freestream speed :, 40.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    0.000,     0.000,   0.617901,   0.015251,   0.009243,   0.024493,   0.000000,  -0.000000,  -0.296497,   0.000000,   0.000000,   40.2800,    0.6343
    0.500,     0.000,   0.663571,   0.017012,   0.009189,   0.026201,   0.000000,  -0.000000,  -0.308191,   0.000000,   0.000000,   40.2800,    0.6129
    1.000,     0.000,   0.708386,   0.018868,   0.009174,   0.028042,   0.000000,  -0.000000,  -0.319382,   0.000000,   0.000000,   40.2800,    0.5942
    1.500,     0.000,   0.752788,   0.020837,   0.009193,   0.030030,   0.000000,  -0.000000,  -0.330330,   0.000000,   0.000000,   40.2800,    0.5776
    2.000,     0.000,   0.796853,   0.022918,   0.009239,   0.032156,   0.000000,  -0.000000,  -0.341070,   0.000000,   0.000000,   40.2800,    0.5626
    2.500,     0.000,   0.840598,   0.025115,   0.009328,   0.034443,   0.000000,  -0.000000,  -0.351601,   0.000000,   0.000000,   40.2800,    0.5491
    3.000,     0.000,   0.884040,   0.027426,   0.009439,   0.036865,   0.000000,  -0.000000,  -0.361960,   0.000000,   0.000000,   40.2800,    0.5368
    3.500,     0.000,   0.927682,   0.029866,   0.009562,   0.039428,   0.000000,  -0.000000,  -0.372418,   0.000000,   0.000000,   40.2800,    0.5256
    4.000,     0.000,   0.971652,   0.032431,   0.009709,   0.042140,   0.000000,  -0.000000,  -0.383016,   0.000000,   0.000000,   40.2800,    0.5153
    4.500,     0.000,   1.015914,   0.035123,   0.009873,   0.044995,   0.000000,  -0.000000,  -0.393741,   0.000000,   0.000000,   40.2800,    0.5059
    5.000,     0.000,   1.060621,   0.037968,   0.010056,   0.048024,   0.000000,  -0.000000,  -0.404688,   0.000000,   0.000000,   40.2800,    0.4973
    5.500,     0.000,   1.105371,   0.040919,   0.010265,   0.051184,   0.000000,  -0.000000,  -0.415630,   0.000000,   0.000000,   40.2800,    0.4894
    6.000,     0.000,   1.149677,   0.043995,   0.010500,   0.054495,   0.000000,  -0.000000,  -0.426365,   0.000000,   0.000000,   40.2800,    0.4819
    6.500,     0.000,   1.193341,   0.047179,   0.010754,   0.057933,   0.000000,  -0.000000,  -0.436780,   0.000000,   0.000000,   40.2800,    0.4748
    7.000,     0.000,   1.236354,   0.050454,   0.011029,   0.061483,   0.000000,  -0.000000,  -0.446868,   0.000000,   0.000000,   40.2800,    0.4681
    7.500,     0.000,   1.278951,   0.053833,   0.011290,   0.065123,   0.000000,  -0.000000,  -0.456765,   0.000000,   0.000000,   40.2800,    0.4617
    8.000,     0.000,   1.321373,   0.057342,   0.011549,   0.068891,   0.000000,  -0.000000,  -0.466607,   0.000000,   0.000000,   40.2800,    0.4556
    8.500,     0.000,   1.362679,   0.060871,   0.011853,   0.072724,   0.000000,  -0.000000,  -0.475908,   0.000000,   0.000000,   40.2800,    0.4497
    9.000,     0.000,   1.403501,   0.064474,   0.012191,   0.076664,   0.000000,  -0.000000,  -0.484959,   0.000000,   0.000000,   40.2800,    0.4439
    9.500,     0.000,   1.443703,   0.068129,   0.012583,   0.080712,   0.000000,  -0.000000,  -0.493718,   0.000000,   0.000000,   40.2800,    0.4384
   10.000,     0.000,   1.482184,   0.071746,   0.013119,   0.084865,   0.000000,  -0.000000,  -0.501670,   0.000000,   0.000000,   40.2800,    0.4329
   10.500,     0.000,   1.525094,   0.075645,   0.013934,   0.089579,   0.000000,  -0.000000,  -0.511328,   0.000000,   0.000000,   40.2800,    0.4277
   11.000,     0.000,   1.564697,   0.079384,   0.014961,   0.094345,   0.000000,  -0.000000,  -0.519477,   0.000000,   0.000000,   40.2800,    0.4225
   11.500,     0.000,   1.607469,   0.083518,   0.016318,   0.099836,   0.000000,  -0.000000,  -0.528765,   0.000000,   0.000000,   40.2800,    0.4175
   12.000,     0.000,   1.649474,   0.087739,   0.017766,   0.105505,   0.000000,  -0.000000,  -0.537706,   0.000000,   0.000000,   40.2800,    0.4128
   12.500,     0.000,   1.697043,   0.092791,   0.019344,   0.112135,   0.000000,  -0.000000,  -0.548964,   0.000000,   0.000000,   40.2800,    0.4088
   13.000,     0.000,   1.739947,   0.097665,   0.020811,   0.118476,   0.000000,  -0.000000,  -0.558419,   0.000000,   0.000000,   40.2800,    0.4046
   13.500,     0.000,   1.777201,   0.102110,   0.022223,   0.124333,   0.000000,  -0.000000,  -0.565577,   0.000000,   0.000000,   40.2800,    0.4002
   14.000,     0.000,   1.805984,   0.105755,   0.023768,   0.129522,   0.000000,  -0.000000,  -0.569346,   0.000000,   0.000000,   40.2800,    0.3952
   14.500,     0.000,   1.836370,   0.109708,   0.025304,   0.135012,   0.000000,  -0.000000,  -0.573920,   0.000000,   0.000000,   40.2800,    0.3905
   15.000,     0.000,   1.864649,   0.113588,   0.027034,   0.140623,   0.000000,  -0.000000,  -0.577761,   0.000000,   0.000000,   40.2800,    0.3858
   15.500,     0.000,   1.887125,   0.116781,   0.028969,   0.145750,   0.000000,  -0.000000,  -0.579533,   0.000000,   0.000000,   40.2800,    0.3810
   16.000,     0.000,   1.906689,   0.119614,   0.031058,   0.150671,   0.000000,  -0.000000,  -0.580327,   0.000000,   0.000000,   40.2800,    0.3760
   16.500,     0.000,   1.923752,   0.122221,   0.033424,   0.155645,   0.000000,  -0.000000,  -0.580537,   0.000000,   0.000000,   40.2800,    0.3712


