xflr5 v6.61

Plane name :, 3213 50% with 5 deg flap
Polar name :, Landing Data for 3213 50% with 5 deg flap at 46.5 m/s and 2000.0kg
Freestream speed :, 40.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    0.000,     0.000,   0.439812,   0.006791,   0.007628,   0.014419,   0.000000,  -0.000000,  -0.203240,   0.000000,   0.000000,   40.2800,    0.6120
    0.500,     0.000,   0.485706,   0.008097,   0.007522,   0.015619,   0.000000,  -0.000000,  -0.214938,   0.000000,   0.000000,   40.2800,    0.5855
    1.000,     0.000,   0.531165,   0.009546,   0.007303,   0.016849,   0.000000,  -0.000000,  -0.226556,   0.000000,   0.000000,   40.2800,    0.5633
    1.500,     0.000,   0.576807,   0.011132,   0.007116,   0.018248,   0.000000,  -0.000000,  -0.238220,   0.000000,   0.000000,   40.2800,    0.5443
    2.000,     0.000,   0.622666,   0.012868,   0.007025,   0.019893,   0.000000,  -0.000000,  -0.249927,   0.000000,   0.000000,   40.2800,    0.5281
    2.500,     0.000,   0.668478,   0.014741,   0.006987,   0.021728,   0.000000,  -0.000000,  -0.261573,   0.000000,   0.000000,   40.2800,    0.5140
    3.000,     0.000,   0.714182,   0.016750,   0.007003,   0.023752,   0.000000,  -0.000000,  -0.273131,   0.000000,   0.000000,   40.2800,    0.5016
    3.500,     0.000,   0.759528,   0.018884,   0.007043,   0.025928,   0.000000,  -0.000000,  -0.284488,   0.000000,   0.000000,   40.2800,    0.4906
    4.000,     0.000,   0.804651,   0.021154,   0.007119,   0.028272,   0.000000,  -0.000000,  -0.295728,   0.000000,   0.000000,   40.2800,    0.4806
    4.500,     0.000,   0.850424,   0.023574,   0.007218,   0.030793,   0.000000,  -0.000000,  -0.307273,   0.000000,   0.000000,   40.2800,    0.4718
    5.000,     0.000,   0.896867,   0.026152,   0.007323,   0.033475,   0.000000,  -0.000000,  -0.319136,   0.000000,   0.000000,   40.2800,    0.4639
    5.500,     0.000,   0.943779,   0.028904,   0.007432,   0.036337,   0.000000,  -0.000000,  -0.331249,   0.000000,   0.000000,   40.2800,    0.4568
    6.000,     0.000,   0.991283,   0.031824,   0.007554,   0.039379,   0.000000,  -0.000000,  -0.343634,   0.000000,   0.000000,   40.2800,    0.4504
    6.500,     0.000,   1.038818,   0.034900,   0.007695,   0.042595,   0.000000,  -0.000000,  -0.356025,   0.000000,   0.000000,   40.2800,    0.4446
    7.000,     0.000,   1.085599,   0.038087,   0.007862,   0.045949,   0.000000,  -0.000000,  -0.368042,   0.000000,   0.000000,   40.2800,    0.4391
    7.500,     0.000,   1.131176,   0.041358,   0.008048,   0.049406,   0.000000,  -0.000000,  -0.379484,   0.000000,   0.000000,   40.2800,    0.4337
    8.000,     0.000,   1.175591,   0.044685,   0.008237,   0.052922,   0.000000,  -0.000000,  -0.390362,   0.000000,   0.000000,   40.2800,    0.4284
    8.500,     0.000,   1.219680,   0.048124,   0.008418,   0.056542,   0.000000,  -0.000000,  -0.401102,   0.000000,   0.000000,   40.2800,    0.4234
    9.000,     0.000,   1.263093,   0.051638,   0.008622,   0.060260,   0.000000,  -0.000000,  -0.411513,   0.000000,   0.000000,   40.2800,    0.4186
    9.500,     0.000,   1.305532,   0.055203,   0.008895,   0.064099,   0.000000,  -0.000000,  -0.421448,   0.000000,   0.000000,   40.2800,    0.4138
   10.000,     0.000,   1.347217,   0.058861,   0.009170,   0.068031,   0.000000,  -0.000000,  -0.431036,   0.000000,   0.000000,   40.2800,    0.4092
   10.500,     0.000,   1.385902,   0.062278,   0.009561,   0.071839,   0.000000,  -0.000000,  -0.439008,   0.000000,   0.000000,   40.2800,    0.4041
   11.000,     0.000,   1.424475,   0.065834,   0.010163,   0.075997,   0.000000,  -0.000000,  -0.446906,   0.000000,   0.000000,   40.2800,    0.3992
   11.500,     0.000,   1.463423,   0.069469,   0.010980,   0.080449,   0.000000,  -0.000000,  -0.454818,   0.000000,   0.000000,   40.2800,    0.3944
   12.000,     0.000,   1.507364,   0.073740,   0.012137,   0.085877,   0.000000,  -0.000000,  -0.464815,   0.000000,   0.000000,   40.2800,    0.3902
   12.500,     0.000,   1.550714,   0.078178,   0.013463,   0.091641,   0.000000,  -0.000000,  -0.474623,  -0.000000,  -0.000000,   40.2800,    0.3864
   13.000,     0.000,   1.599275,   0.083462,   0.015038,   0.098500,   0.000000,   0.000000,  -0.486592,  -0.000000,  -0.000000,   40.2800,    0.3833
   13.500,     0.000,   1.648553,   0.089137,   0.016573,   0.105710,   0.000000,  -0.000000,  -0.499051,   0.000000,   0.000000,   40.2800,    0.3807
   14.000,     0.000,   1.685872,   0.093622,   0.017959,   0.111581,   0.000000,  -0.000000,  -0.506665,  -0.000000,  -0.000000,   40.2800,    0.3769
   14.500,     0.000,   1.717045,   0.097503,   0.019400,   0.116903,   0.000000,  -0.000000,  -0.511941,  -0.000000,  -0.000000,   40.2800,    0.3727
   15.000,     0.000,   1.747953,   0.101534,   0.020912,   0.122446,   0.000000,  -0.000000,  -0.517284,  -0.000000,  -0.000000,   40.2800,    0.3687
   15.500,     0.000,   1.775626,   0.105349,   0.022637,   0.127986,   0.000000,  -0.000000,  -0.521541,   0.000000,   0.000000,   40.2800,    0.3647
   16.000,     0.000,   1.796819,   0.108278,   0.024549,   0.132827,   0.000000,   0.000000,  -0.523440,  -0.000000,  -0.000000,   40.2800,    0.3602
   16.500,     0.000,   1.816843,   0.111143,   0.026608,   0.137750,   0.000000,  -0.000000,  -0.525117,   0.000000,   0.000000,   40.2800,    0.3559
   17.000,     0.000,   1.836388,   0.113960,   0.028803,   0.142763,   0.000000,  -0.000000,  -0.526913,   0.000000,   0.000000,   40.2800,    0.3518


