xflr5 v6.61

Plane name :, 3213 50% with 25 deg flap
Polar name :, Take-off Data for 3213 50% with 25 deg flap at 46.5 m/s and 2000.0kg
Freestream speed :, 46.5 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    0.500,     0.000,   0.795957,   0.026128,   0.017355,   0.043483,   0.000000,  -0.000000,  -0.370575,   0.000000,   0.000000,   46.4700,    0.6123
    1.000,     0.000,   0.839752,   0.028210,   0.017413,   0.045623,   0.000000,  -0.000000,  -0.381131,   0.000000,   0.000000,   46.4700,    0.5962
    1.500,     0.000,   0.883105,   0.030408,   0.017483,   0.047892,   0.000000,  -0.000000,  -0.391474,   0.000000,   0.000000,   46.4700,    0.5816
    2.000,     0.000,   0.926143,   0.032722,   0.017565,   0.050287,   0.000000,  -0.000000,  -0.401638,   0.000000,   0.000000,   46.4700,    0.5683
    2.500,     0.000,   0.969024,   0.035156,   0.017668,   0.052824,   0.000000,  -0.000000,  -0.411697,   0.000000,   0.000000,   46.4700,    0.5560
    3.000,     0.000,   1.012160,   0.037713,   0.017785,   0.055498,   0.000000,  -0.000000,  -0.421886,   0.000000,   0.000000,   46.4700,    0.5447
    3.500,     0.000,   1.055494,   0.040389,   0.017920,   0.058309,   0.000000,  -0.000000,  -0.432151,   0.000000,   0.000000,   46.4700,    0.5343
    4.000,     0.000,   1.098805,   0.043188,   0.018071,   0.061259,   0.000000,  -0.000000,  -0.442390,   0.000000,   0.000000,   46.4700,    0.5247
    4.500,     0.000,   1.142414,   0.046110,   0.018241,   0.064351,   0.000000,  -0.000000,  -0.452757,   0.000000,   0.000000,   46.4700,    0.5157
    5.000,     0.000,   1.186233,   0.049148,   0.018427,   0.067574,   0.000000,  -0.000000,  -0.463203,   0.000000,   0.000000,   46.4700,    0.5073
    5.500,     0.000,   1.230122,   0.052313,   0.018626,   0.070939,   0.000000,  -0.000000,  -0.473681,   0.000000,   0.000000,   46.4700,    0.4995
    6.000,     0.000,   1.273087,   0.055578,   0.018840,   0.074418,   0.000000,  -0.000000,  -0.483713,   0.000000,   0.000000,   46.4700,    0.4921
    6.500,     0.000,   1.315931,   0.058946,   0.019057,   0.078004,   0.000000,  -0.000000,  -0.493651,   0.000000,   0.000000,   46.4700,    0.4850
    7.000,     0.000,   1.358775,   0.062455,   0.019277,   0.081732,   0.000000,  -0.000000,  -0.503607,   0.000000,   0.000000,   46.4700,    0.4783
    7.500,     0.000,   1.400352,   0.066016,   0.019527,   0.085543,   0.000000,  -0.000000,  -0.512969,   0.000000,   0.000000,   46.4700,    0.4719
    8.000,     0.000,   1.441397,   0.069637,   0.019797,   0.089434,   0.000000,  -0.000000,  -0.522048,   0.000000,   0.000000,   46.4700,    0.4656
    8.500,     0.000,   1.481532,   0.073284,   0.020104,   0.093388,   0.000000,  -0.000000,  -0.530684,   0.000000,   0.000000,   46.4700,    0.4595
    9.000,     0.000,   1.519675,   0.076840,   0.020497,   0.097337,   0.000000,  -0.000000,  -0.538346,   0.000000,   0.000000,   46.4700,    0.4535
    9.500,     0.000,   1.556242,   0.080342,   0.020990,   0.101332,   0.000000,  -0.000000,  -0.545251,   0.000000,   0.000000,   46.4700,    0.4475
   10.000,     0.000,   1.599969,   0.084232,   0.021835,   0.106068,   0.000000,  -0.000000,  -0.555020,   0.000000,   0.000000,   46.4700,    0.4420
   10.500,     0.000,   1.639190,   0.087952,   0.022740,   0.110692,   0.000000,  -0.000000,  -0.562858,   0.000000,   0.000000,   46.4700,    0.4364
   11.000,     0.000,   1.682129,   0.092058,   0.023877,   0.115935,   0.000000,  -0.000000,  -0.572202,   0.000000,   0.000000,   46.4700,    0.4313
   11.500,     0.000,   1.726537,   0.096445,   0.025138,   0.121583,   0.000000,  -0.000000,  -0.582148,   0.000000,   0.000000,   46.4700,    0.4265
   12.000,     0.000,   1.773215,   0.101323,   0.026514,   0.127837,   0.000000,  -0.000000,  -0.593052,   0.000000,   0.000000,   46.4700,    0.4221
   12.500,     0.000,   1.811786,   0.105644,   0.028000,   0.133644,   0.000000,  -0.000000,  -0.600519,   0.000000,   0.000000,   46.4700,    0.4172
   13.000,     0.000,   1.846973,   0.109805,   0.029550,   0.139356,   0.000000,  -0.000000,  -0.606608,   0.000000,   0.000000,   46.4700,    0.4123
   13.500,     0.000,   1.878426,   0.113717,   0.031211,   0.144927,   0.000000,  -0.000000,  -0.611291,   0.000000,   0.000000,   46.4700,    0.4074
   14.000,     0.000,   1.905884,   0.117263,   0.032888,   0.150151,   0.000000,  -0.000000,  -0.614485,   0.000000,   0.000000,   46.4700,    0.4022
   14.500,     0.000,   1.931947,   0.120869,   0.034846,   0.155715,   0.000000,  -0.000000,  -0.617268,   0.000000,   0.000000,   46.4700,    0.3972
   15.000,     0.000,   1.955518,   0.124297,   0.037019,   0.161316,   0.000000,  -0.000000,  -0.619232,   0.000000,   0.000000,   46.4700,    0.3923
   15.500,     0.000,   1.972870,   0.126850,   0.039406,   0.166256,   0.000000,  -0.000000,  -0.618975,   0.000000,   0.000000,   46.4700,    0.3871


