xflr5 v6.61

Plane name :, 3213 50% with 20 deg flap
Polar name :, Take-off Data for 3213 50% with 20 deg flap at 46.5 m/s and 2000.0kg
Freestream speed :, 46.5 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    0.000,     0.000,   0.688312,   0.019639,   0.012685,   0.032324,   0.000000,  -0.000000,  -0.330277,   0.000000,   0.000000,   46.4700,    0.6331
    0.500,     0.000,   0.733732,   0.021550,   0.012696,   0.034245,   0.000000,  -0.000000,  -0.341756,   0.000000,   0.000000,   46.4700,    0.6136
    1.000,     0.000,   0.777917,   0.023538,   0.012723,   0.036260,   0.000000,  -0.000000,  -0.352599,   0.000000,   0.000000,   46.4700,    0.5964
    1.500,     0.000,   0.821706,   0.025624,   0.012786,   0.038410,   0.000000,  -0.000000,  -0.363194,   0.000000,   0.000000,   46.4700,    0.5809
    2.000,     0.000,   0.865126,   0.027821,   0.012865,   0.040686,   0.000000,  -0.000000,  -0.373579,   0.000000,   0.000000,   46.4700,    0.5668
    2.500,     0.000,   0.908312,   0.030135,   0.012972,   0.043107,   0.000000,  -0.000000,  -0.383811,   0.000000,   0.000000,   46.4700,    0.5539
    3.000,     0.000,   0.951455,   0.032577,   0.013091,   0.045669,   0.000000,  -0.000000,  -0.394024,   0.000000,   0.000000,   46.4700,    0.5421
    3.500,     0.000,   0.994781,   0.035134,   0.013235,   0.048370,   0.000000,  -0.000000,  -0.404305,   0.000000,   0.000000,   46.4700,    0.5313
    4.000,     0.000,   1.038271,   0.037815,   0.013401,   0.051216,   0.000000,  -0.000000,  -0.414653,   0.000000,   0.000000,   46.4700,    0.5213
    4.500,     0.000,   1.081990,   0.040622,   0.013584,   0.054206,   0.000000,  -0.000000,  -0.425101,   0.000000,   0.000000,   46.4700,    0.5121
    5.000,     0.000,   1.125852,   0.043547,   0.013784,   0.057332,   0.000000,  -0.000000,  -0.435598,   0.000000,   0.000000,   46.4700,    0.5035
    5.500,     0.000,   1.170031,   0.046612,   0.013999,   0.060611,   0.000000,  -0.000000,  -0.446245,   0.000000,   0.000000,   46.4700,    0.4956
    6.000,     0.000,   1.214172,   0.049798,   0.014230,   0.064028,   0.000000,  -0.000000,  -0.456863,   0.000000,   0.000000,   46.4700,    0.4882
    6.500,     0.000,   1.257153,   0.053083,   0.014472,   0.067555,   0.000000,  -0.000000,  -0.466926,   0.000000,   0.000000,   46.4700,    0.4811
    7.000,     0.000,   1.300056,   0.056466,   0.014726,   0.071193,   0.000000,  -0.000000,  -0.476923,   0.000000,   0.000000,   46.4700,    0.4743
    7.500,     0.000,   1.341888,   0.059924,   0.015031,   0.074955,   0.000000,  -0.000000,  -0.486443,   0.000000,   0.000000,   46.4700,    0.4678
    8.000,     0.000,   1.382940,   0.063407,   0.015335,   0.078742,   0.000000,  -0.000000,  -0.495551,   0.000000,   0.000000,   46.4700,    0.4615
    8.500,     0.000,   1.422817,   0.066931,   0.015713,   0.082644,   0.000000,  -0.000000,  -0.504119,   0.000000,   0.000000,   46.4700,    0.4554
    9.000,     0.000,   1.462306,   0.070511,   0.016089,   0.086600,   0.000000,  -0.000000,  -0.512478,   0.000000,   0.000000,   46.4700,    0.4495
    9.500,     0.000,   1.501090,   0.074138,   0.016528,   0.090666,   0.000000,  -0.000000,  -0.520510,   0.000000,   0.000000,   46.4700,    0.4437
   10.000,     0.000,   1.542548,   0.077964,   0.017220,   0.095185,   0.000000,  -0.000000,  -0.529555,   0.000000,   0.000000,   46.4700,    0.4383
   10.500,     0.000,   1.583099,   0.081730,   0.018124,   0.099853,   0.000000,  -0.000000,  -0.538035,   0.000000,   0.000000,   46.4700,    0.4328
   11.000,     0.000,   1.622805,   0.085525,   0.019253,   0.104779,   0.000000,  -0.000000,  -0.546068,   0.000000,   0.000000,   46.4700,    0.4275
   11.500,     0.000,   1.666939,   0.089803,   0.020559,   0.110362,   0.000000,  -0.000000,  -0.555884,   0.000000,   0.000000,   46.4700,    0.4226
   12.000,     0.000,   1.711663,   0.094402,   0.021911,   0.116313,   0.000000,  -0.000000,  -0.566042,   0.000000,   0.000000,   46.4700,    0.4181
   12.500,     0.000,   1.760666,   0.099722,   0.023367,   0.123089,   0.000000,  -0.000000,  -0.577972,   0.000000,   0.000000,   46.4700,    0.4142
   13.000,     0.000,   1.799562,   0.104222,   0.024711,   0.128933,   0.000000,  -0.000000,  -0.585762,   0.000000,   0.000000,   46.4700,    0.4096
   13.500,     0.000,   1.837595,   0.108877,   0.026089,   0.134967,   0.000000,  -0.000000,  -0.593307,   0.000000,   0.000000,   46.4700,    0.4052
   14.000,     0.000,   1.867699,   0.112671,   0.027504,   0.140176,   0.000000,  -0.000000,  -0.597678,   0.000000,   0.000000,   46.4700,    0.4003
   14.500,     0.000,   1.895360,   0.116458,   0.029264,   0.145721,   0.000000,  -0.000000,  -0.601051,   0.000000,   0.000000,   46.4700,    0.3954
   15.000,     0.000,   1.920041,   0.120003,   0.031243,   0.151246,   0.000000,  -0.000000,  -0.603402,   0.000000,   0.000000,   46.4700,    0.3904
   15.500,     0.000,   1.942222,   0.123112,   0.033157,   0.156269,   0.000000,  -0.000000,  -0.604923,   0.000000,   0.000000,   46.4700,    0.3855


