xflr5 v6.61

Plane name :, 3213 50% with 20 deg flap
Polar name :, Landing Data for 3213 50% with 20 deg flap at 40.28 m/s and 2000.0kg
Freestream speed :, 40.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    0.000,     0.000,   0.685211,   0.019451,   0.012891,   0.032343,   0.000000,  -0.000000,  -0.328722,   0.000000,   0.000000,   40.2800,    0.6330
    0.500,     0.000,   0.730516,   0.021353,   0.012892,   0.034245,   0.000000,  -0.000000,  -0.340146,   0.000000,   0.000000,   40.2800,    0.6134
    1.000,     0.000,   0.774469,   0.023323,   0.012921,   0.036244,   0.000000,  -0.000000,  -0.350873,   0.000000,   0.000000,   40.2800,    0.5962
    1.500,     0.000,   0.818035,   0.025394,   0.012985,   0.038379,   0.000000,  -0.000000,  -0.361352,   0.000000,   0.000000,   40.2800,    0.5806
    2.000,     0.000,   0.861281,   0.027577,   0.013067,   0.040645,   0.000000,  -0.000000,  -0.371642,   0.000000,   0.000000,   40.2800,    0.5663
    2.500,     0.000,   0.904338,   0.029877,   0.013187,   0.043065,   0.000000,  -0.000000,  -0.381802,   0.000000,   0.000000,   40.2800,    0.5534
    3.000,     0.000,   0.947388,   0.032300,   0.013317,   0.045617,   0.000000,  -0.000000,  -0.391956,   0.000000,   0.000000,   40.2800,    0.5415
    3.500,     0.000,   0.990741,   0.034838,   0.013468,   0.048306,   0.000000,  -0.000000,  -0.402242,   0.000000,   0.000000,   40.2800,    0.5307
    4.000,     0.000,   1.034366,   0.037508,   0.013648,   0.051156,   0.000000,  -0.000000,  -0.412653,   0.000000,   0.000000,   40.2800,    0.5207
    4.500,     0.000,   1.078346,   0.040307,   0.013844,   0.054151,   0.000000,  -0.000000,  -0.423227,   0.000000,   0.000000,   40.2800,    0.5115
    5.000,     0.000,   1.122682,   0.043237,   0.014054,   0.057291,   0.000000,  -0.000000,  -0.433953,   0.000000,   0.000000,   40.2800,    0.5030
    5.500,     0.000,   1.167093,   0.046310,   0.014275,   0.060585,   0.000000,  -0.000000,  -0.444723,   0.000000,   0.000000,   40.2800,    0.4951
    6.000,     0.000,   1.210904,   0.049483,   0.014511,   0.063994,   0.000000,  -0.000000,  -0.455178,   0.000000,   0.000000,   40.2800,    0.4877
    6.500,     0.000,   1.253788,   0.052750,   0.014770,   0.067520,   0.000000,  -0.000000,  -0.465190,   0.000000,   0.000000,   40.2800,    0.4806
    7.000,     0.000,   1.295852,   0.056069,   0.015064,   0.071134,   0.000000,  -0.000000,  -0.474792,   0.000000,   0.000000,   40.2800,    0.4737
    7.500,     0.000,   1.336920,   0.059444,   0.015398,   0.074842,   0.000000,  -0.000000,  -0.483928,   0.000000,   0.000000,   40.2800,    0.4671
    8.000,     0.000,   1.377612,   0.062894,   0.015728,   0.078623,   0.000000,  -0.000000,  -0.492872,   0.000000,   0.000000,   40.2800,    0.4608
    8.500,     0.000,   1.417795,   0.066434,   0.016066,   0.082501,   0.000000,  -0.000000,  -0.501596,   0.000000,   0.000000,   40.2800,    0.4547
    9.000,     0.000,   1.457927,   0.070071,   0.016417,   0.086488,   0.000000,  -0.000000,  -0.510278,   0.000000,   0.000000,   40.2800,    0.4489
    9.500,     0.000,   1.496780,   0.073703,   0.016859,   0.090562,   0.000000,  -0.000000,  -0.518357,   0.000000,   0.000000,   40.2800,    0.4432
   10.000,     0.000,   1.538320,   0.077535,   0.017523,   0.095058,   0.000000,  -0.000000,  -0.527477,   0.000000,   0.000000,   40.2800,    0.4377
   10.500,     0.000,   1.579236,   0.081325,   0.018403,   0.099728,   0.000000,  -0.000000,  -0.536144,   0.000000,   0.000000,   40.2800,    0.4323
   11.000,     0.000,   1.619387,   0.085163,   0.019507,   0.104670,   0.000000,  -0.000000,  -0.544407,   0.000000,   0.000000,   40.2800,    0.4270
   11.500,     0.000,   1.662821,   0.089367,   0.020877,   0.110243,   0.000000,  -0.000000,  -0.553927,   0.000000,   0.000000,   40.2800,    0.4221
   12.000,     0.000,   1.707340,   0.093935,   0.022265,   0.116200,   0.000000,  -0.000000,  -0.564010,   0.000000,   0.000000,   40.2800,    0.4176
   12.500,     0.000,   1.755182,   0.099119,   0.023785,   0.122904,   0.000000,  -0.000000,  -0.575450,   0.000000,   0.000000,   40.2800,    0.4136
   13.000,     0.000,   1.793264,   0.103521,   0.025196,   0.128718,   0.000000,  -0.000000,  -0.582918,   0.000000,   0.000000,   40.2800,    0.4090
   13.500,     0.000,   1.830125,   0.108029,   0.026646,   0.134675,   0.000000,  -0.000000,  -0.589984,   0.000000,   0.000000,   40.2800,    0.4045
   14.000,     0.000,   1.859508,   0.111725,   0.028120,   0.139845,   0.000000,  -0.000000,  -0.594094,   0.000000,   0.000000,   40.2800,    0.3996
   14.500,     0.000,   1.885940,   0.115357,   0.029984,   0.145341,   0.000000,  -0.000000,  -0.596989,   0.000000,   0.000000,   40.2800,    0.3946
   15.000,     0.000,   1.909225,   0.118729,   0.032107,   0.150836,   0.000000,  -0.000000,  -0.598852,   0.000000,   0.000000,   40.2800,    0.3896
   15.500,     0.000,   1.928724,   0.121533,   0.034295,   0.155828,   0.000000,  -0.000000,  -0.599387,   0.000000,   0.000000,   40.2800,    0.3845


