xflr5 v6.61

Plane name :, 3213 50% with 5 deg flap
Polar name :, Take-off Data for 3213 50% with 5 deg flap at 46.5 m/s and 2000.0kg
Freestream speed :, 46.7 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    0.000,     0.000,   0.440426,   0.006811,   0.007501,   0.014311,   0.000000,  -0.000000,  -0.203587,   0.000000,   0.000000,   46.6700,    0.6123
    0.500,     0.000,   0.486821,   0.008134,   0.007464,   0.015598,   0.000000,  -0.000000,  -0.215464,   0.000000,   0.000000,   46.6700,    0.5853
    1.000,     0.000,   0.532669,   0.009599,   0.007262,   0.016861,   0.000000,  -0.000000,  -0.227243,   0.000000,   0.000000,   46.6700,    0.5633
    1.500,     0.000,   0.578420,   0.011192,   0.007022,   0.018214,   0.000000,  -0.000000,  -0.238989,   0.000000,   0.000000,   46.6700,    0.5447
    2.000,     0.000,   0.624297,   0.012932,   0.006923,   0.019855,   0.000000,  -0.000000,  -0.250714,   0.000000,   0.000000,   46.6700,    0.5284
    2.500,     0.000,   0.670151,   0.014817,   0.006881,   0.021698,   0.000000,  -0.000000,  -0.262402,   0.000000,   0.000000,   46.6700,    0.5144
    3.000,     0.000,   0.716116,   0.016835,   0.006882,   0.023717,   0.000000,  -0.000000,  -0.274092,   0.000000,   0.000000,   46.6700,    0.5020
    3.500,     0.000,   0.761818,   0.018990,   0.006900,   0.025890,   0.000000,  -0.000000,  -0.285643,   0.000000,   0.000000,   46.6700,    0.4911
    4.000,     0.000,   0.807344,   0.021286,   0.006940,   0.028226,   0.000000,  -0.000000,  -0.297095,   0.000000,   0.000000,   46.6700,    0.4813
    4.500,     0.000,   0.853144,   0.023723,   0.007003,   0.030726,   0.000000,  -0.000000,  -0.308660,   0.000000,   0.000000,   46.6700,    0.4724
    5.000,     0.000,   0.899283,   0.026309,   0.007090,   0.033399,   0.000000,  -0.000000,  -0.320387,   0.000000,   0.000000,   46.6700,    0.4645
    5.500,     0.000,   0.945914,   0.029043,   0.007193,   0.036237,   0.000000,  -0.000000,  -0.332341,   0.000000,   0.000000,   46.6700,    0.4573
    6.000,     0.000,   0.992922,   0.031945,   0.007308,   0.039253,   0.000000,  -0.000000,  -0.344485,   0.000000,   0.000000,   46.6700,    0.4508
    6.500,     0.000,   1.039939,   0.034999,   0.007453,   0.042451,   0.000000,  -0.000000,  -0.356640,   0.000000,   0.000000,   46.6700,    0.4449
    7.000,     0.000,   1.086847,   0.038189,   0.007631,   0.045819,   0.000000,  -0.000000,  -0.368726,   0.000000,   0.000000,   46.6700,    0.4394
    7.500,     0.000,   1.132924,   0.041498,   0.007827,   0.049325,   0.000000,  -0.000000,  -0.380419,   0.000000,   0.000000,   46.6700,    0.4341
    8.000,     0.000,   1.178294,   0.044882,   0.008002,   0.052884,   0.000000,  -0.000000,  -0.391745,   0.000000,   0.000000,   46.6700,    0.4290
    8.500,     0.000,   1.222844,   0.048371,   0.008159,   0.056530,   0.000000,  -0.000000,  -0.402712,   0.000000,   0.000000,   46.6700,    0.4240
    9.000,     0.000,   1.266494,   0.051912,   0.008371,   0.060282,   0.000000,  -0.000000,  -0.413218,   0.000000,   0.000000,   46.6700,    0.4192
    9.500,     0.000,   1.308595,   0.055445,   0.008660,   0.064106,   0.000000,  -0.000000,  -0.422978,   0.000000,   0.000000,   46.6700,    0.4144
   10.000,     0.000,   1.349478,   0.059044,   0.008994,   0.068038,   0.000000,  -0.000000,  -0.432172,   0.000000,   0.000000,   46.6700,    0.4096
   10.500,     0.000,   1.388323,   0.062501,   0.009423,   0.071925,   0.000000,  -0.000000,  -0.440231,   0.000000,   0.000000,   46.6700,    0.4046
   11.000,     0.000,   1.426905,   0.066052,   0.010070,   0.076122,   0.000000,  -0.000000,  -0.448099,   0.000000,   0.000000,   46.6700,    0.3996
   11.500,     0.000,   1.466326,   0.069729,   0.011002,   0.080731,   0.000000,  -0.000000,  -0.456250,   0.000000,   0.000000,   46.6700,    0.3949
   12.000,     0.000,   1.510156,   0.073998,   0.012135,   0.086134,   0.000000,  -0.000000,  -0.466209,   0.000000,   0.000000,   46.6700,    0.3907
   12.500,     0.000,   1.553900,   0.078472,   0.013272,   0.091744,   0.000000,  -0.000000,  -0.476121,  -0.000000,  -0.000000,   46.6700,    0.3868
   13.000,     0.000,   1.604308,   0.083936,   0.014716,   0.098652,   0.000000,  -0.000000,  -0.488890,  -0.000000,  -0.000000,   46.6700,    0.3839
   13.500,     0.000,   1.654196,   0.089699,   0.016177,   0.105876,   0.000000,  -0.000000,  -0.501560,   0.000000,   0.000000,   46.6700,    0.3813
   14.000,     0.000,   1.692553,   0.094304,   0.017498,   0.111801,   0.000000,  -0.000000,  -0.509571,  -0.000000,  -0.000000,   46.6700,    0.3776
   14.500,     0.000,   1.725281,   0.098359,   0.018833,   0.117192,   0.000000,   0.000000,  -0.515430,  -0.000000,  -0.000000,   46.6700,    0.3735
   15.000,     0.000,   1.756848,   0.102496,   0.020277,   0.122774,   0.000000,  -0.000000,  -0.520992,  -0.000000,  -0.000000,   46.6700,    0.3695
   15.500,     0.000,   1.784529,   0.106340,   0.021973,   0.128313,   0.000000,  -0.000000,  -0.525168,   0.000000,   0.000000,   46.6700,    0.3655
   16.000,     0.000,   1.807520,   0.109435,   0.023715,   0.133149,   0.000000,   0.000000,  -0.527642,   0.000000,   0.000000,   46.6700,    0.3611
   16.500,     0.000,   1.829766,   0.112544,   0.025555,   0.138099,   0.000000,  -0.000000,  -0.530053,   0.000000,   0.000000,   46.6700,    0.3568
   17.000,     0.000,   1.849501,   0.115415,   0.027690,   0.143105,   0.000000,  -0.000000,  -0.531832,  -0.000000,  -0.000000,   46.6700,    0.3527


