xflr5 v6.61

Plane name :, 3213 50% with 10 deg flap
Polar name :, Landing Data for 3213 50% with 10 deg flap at 40.28 m/s and 2000.0kg
Freestream speed :, 40.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
    0.000,     0.000,   0.532305,   0.010708,   0.007877,   0.018584,   0.000000,  -0.000000,  -0.255419,   0.000000,   0.000000,   40.2800,    0.6350
    0.500,     0.000,   0.577870,   0.012244,   0.007714,   0.019959,   0.000000,  -0.000000,  -0.267070,   0.000000,   0.000000,   40.2800,    0.6109
    1.000,     0.000,   0.622894,   0.013900,   0.007556,   0.021456,   0.000000,  -0.000000,  -0.278404,   0.000000,   0.000000,   40.2800,    0.5899
    1.500,     0.000,   0.667130,   0.015651,   0.007462,   0.023113,   0.000000,  -0.000000,  -0.289240,   0.000000,   0.000000,   40.2800,    0.5715
    2.000,     0.000,   0.711057,   0.017516,   0.007421,   0.024937,   0.000000,  -0.000000,  -0.299861,   0.000000,   0.000000,   40.2800,    0.5552
    2.500,     0.000,   0.755183,   0.019524,   0.007432,   0.026956,   0.000000,  -0.000000,  -0.310560,   0.000000,   0.000000,   40.2800,    0.5406
    3.000,     0.000,   0.799357,   0.021673,   0.007481,   0.029154,   0.000000,  -0.000000,  -0.321278,   0.000000,   0.000000,   40.2800,    0.5276
    3.500,     0.000,   0.843346,   0.023955,   0.007552,   0.031507,   0.000000,  -0.000000,  -0.331901,   0.000000,   0.000000,   40.2800,    0.5159
    4.000,     0.000,   0.887773,   0.026372,   0.007645,   0.034017,   0.000000,  -0.000000,  -0.342726,   0.000000,   0.000000,   40.2800,    0.5053
    4.500,     0.000,   0.932553,   0.028928,   0.007765,   0.036692,   0.000000,  -0.000000,  -0.353712,   0.000000,   0.000000,   40.2800,    0.4957
    5.000,     0.000,   0.977937,   0.031636,   0.007895,   0.039531,   0.000000,  -0.000000,  -0.364989,   0.000000,   0.000000,   40.2800,    0.4871
    5.500,     0.000,   1.023697,   0.034494,   0.008038,   0.042532,   0.000000,  -0.000000,  -0.376440,   0.000000,   0.000000,   40.2800,    0.4792
    6.000,     0.000,   1.069623,   0.037500,   0.008198,   0.045697,   0.000000,  -0.000000,  -0.387965,   0.000000,   0.000000,   40.2800,    0.4719
    6.500,     0.000,   1.115312,   0.040638,   0.008378,   0.049016,   0.000000,  -0.000000,  -0.399369,   0.000000,   0.000000,   40.2800,    0.4652
    7.000,     0.000,   1.160035,   0.043878,   0.008586,   0.052464,   0.000000,  -0.000000,  -0.410320,   0.000000,   0.000000,   40.2800,    0.4587
    7.500,     0.000,   1.203563,   0.047166,   0.008820,   0.055987,   0.000000,  -0.000000,  -0.420675,   0.000000,   0.000000,   40.2800,    0.4524
    8.000,     0.000,   1.246652,   0.050572,   0.009051,   0.059623,   0.000000,  -0.000000,  -0.430845,   0.000000,   0.000000,   40.2800,    0.4465
    8.500,     0.000,   1.289448,   0.054064,   0.009278,   0.063342,   0.000000,  -0.000000,  -0.440876,   0.000000,   0.000000,   40.2800,    0.4408
    9.000,     0.000,   1.331181,   0.057601,   0.009579,   0.067180,   0.000000,  -0.000000,  -0.450403,   0.000000,   0.000000,   40.2800,    0.4353
    9.500,     0.000,   1.372909,   0.061253,   0.009889,   0.071141,   0.000000,  -0.000000,  -0.459927,   0.000000,   0.000000,   40.2800,    0.4300
   10.000,     0.000,   1.413120,   0.064914,   0.010279,   0.075193,   0.000000,  -0.000000,  -0.468781,   0.000000,   0.000000,   40.2800,    0.4249
   10.500,     0.000,   1.452677,   0.068532,   0.010860,   0.079391,   0.000000,  -0.000000,  -0.477158,   0.000000,   0.000000,   40.2800,    0.4197
   11.000,     0.000,   1.494761,   0.072418,   0.011725,   0.084143,   0.000000,  -0.000000,  -0.486505,   0.000000,   0.000000,   40.2800,    0.4148
   11.500,     0.000,   1.536914,   0.076444,   0.012829,   0.089274,   0.000000,  -0.000000,  -0.495746,   0.000000,   0.000000,   40.2800,    0.4100
   12.000,     0.000,   1.580714,   0.080771,   0.014194,   0.094965,   0.000000,  -0.000000,  -0.505527,   0.000000,   0.000000,   40.2800,    0.4055
   12.500,     0.000,   1.626776,   0.085594,   0.015638,   0.101232,   0.000000,  -0.000000,  -0.516257,   0.000000,   0.000000,   40.2800,    0.4015
   13.000,     0.000,   1.675474,   0.090997,   0.017188,   0.108185,   0.000000,  -0.000000,  -0.528045,  -0.000000,  -0.000000,   40.2800,    0.3979
   13.500,     0.000,   1.715680,   0.095687,   0.018523,   0.114210,   0.000000,  -0.000000,  -0.536444,   0.000000,   0.000000,   40.2800,    0.3938
   14.000,     0.000,   1.749744,   0.099869,   0.019895,   0.119764,   0.000000,  -0.000000,  -0.542420,   0.000000,   0.000000,   40.2800,    0.3893
   14.500,     0.000,   1.780254,   0.103760,   0.021315,   0.125075,   0.000000,   0.000000,  -0.547064,  -0.000000,  -0.000000,   40.2800,    0.3847
   15.000,     0.000,   1.810191,   0.107769,   0.022822,   0.130591,   0.000000,  -0.000000,  -0.551605,  -0.000000,  -0.000000,   40.2800,    0.3802
   15.500,     0.000,   1.834639,   0.111213,   0.024584,   0.135797,   0.000000,  -0.000000,  -0.554078,   0.000000,   0.000000,   40.2800,    0.3755
   16.000,     0.000,   1.855741,   0.114157,   0.026423,   0.140580,   0.000000,   0.000000,  -0.555441,   0.000000,   0.000000,   40.2800,    0.3706
   16.500,     0.000,   1.875609,   0.117019,   0.028419,   0.145438,   0.000000,  -0.000000,  -0.556609,   0.000000,  -0.000000,   40.2800,    0.3659
   17.000,     0.000,   1.892200,   0.119603,   0.030784,   0.150388,   0.000000,  -0.000000,  -0.556884,   0.000000,  -0.000000,   40.2800,    0.3613
   17.500,     0.000,   1.904831,   0.121830,   0.033720,   0.155550,   0.000000,  -0.000000,  -0.556256,   0.000000,  -0.000000,   40.2800,    0.3569


