xflr5 v6.61

Plane name :, NACA 3213 No Flaps Cruise AR 10 and TR 0.7
Polar name :, AR10_andTR_point7_at_83_3_m_s_VLM2-2000_0kg
Freestream speed :, 83.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.038456,   0.000047,   0.006954,   0.007001,   0.000000,  -0.000000,  -0.049721,   0.000000,  -0.000000,   83.3300,   -1.7607
   -2.500,     0.000,   0.004954,   0.000004,   0.006959,   0.006963,  -0.000000,   0.000000,  -0.060457,  -0.000000,  -0.000000,   83.3300,   16.6046
   -2.000,     0.000,   0.048368,   0.000080,   0.006975,   0.007055,  -0.000000,   0.000000,  -0.071207,  -0.000000,  -0.000000,   83.3300,    2.0012
   -1.500,     0.000,   0.091781,   0.000276,   0.007020,   0.007296,  -0.000000,   0.000000,  -0.081966,  -0.000000,   0.000000,   83.3300,    1.2130
   -1.000,     0.000,   0.135185,   0.000592,   0.007057,   0.007649,  -0.000000,   0.000000,  -0.092732,   0.000000,   0.000000,   83.3300,    0.9310
   -0.500,     0.000,   0.178574,   0.001028,   0.007082,   0.008110,  -0.000000,   0.000000,  -0.103500,  -0.000000,  -0.000000,   83.3300,    0.7860
    0.000,     0.000,   0.221942,   0.001583,   0.007095,   0.008678,  -0.000000,   0.000000,  -0.114269,   0.000000,  -0.000000,   83.3300,    0.6978
    0.500,     0.000,   0.265283,   0.002258,   0.007097,   0.009355,  -0.000000,   0.000000,  -0.125034,   0.000000,  -0.000000,   83.3300,    0.6384
    1.000,     0.000,   0.308589,   0.003051,   0.007097,   0.010148,  -0.000000,   0.000000,  -0.135793,  -0.000000,  -0.000000,   83.3300,    0.5957
    1.500,     0.000,   0.351855,   0.003963,   0.007095,   0.011057,  -0.000000,   0.000000,  -0.146541,   0.000000,  -0.000000,   83.3300,    0.5636
    2.000,     0.000,   0.395074,   0.004992,   0.007089,   0.012081,  -0.000000,   0.000000,  -0.157277,   0.000000,   0.000000,   83.3300,    0.5385
    2.500,     0.000,   0.438239,   0.006139,   0.006995,   0.013134,  -0.000000,   0.000000,  -0.167994,   0.000000,   0.000000,   83.3300,    0.5184
    3.000,     0.000,   0.481345,   0.007402,   0.006723,   0.014125,  -0.000000,   0.000000,  -0.178689,   0.000000,  -0.000000,   83.3300,    0.5019
    3.500,     0.000,   0.524385,   0.008780,   0.006501,   0.015281,  -0.000000,   0.000000,  -0.189360,   0.000000,  -0.000000,   83.3300,    0.4882
    4.000,     0.000,   0.567353,   0.010274,   0.006348,   0.016622,  -0.000000,   0.000000,  -0.200006,   0.000000,  -0.000000,   83.3300,    0.4766
