xflr5 v6.61

Plane name :, NACA 3213 No Flaps Cruise AR 10 and TR 0.75
Polar name :, AR10_andTR_point75_at_83_3_m_s_VLM2-2000_0kg
Freestream speed :, 83.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.038365,   0.000047,   0.006955,   0.007002,   0.000000,  -0.000000,  -0.049990,  -0.000000,  -0.000000,   83.3300,   -1.7685
   -2.500,     0.000,   0.005153,   0.000004,   0.006960,   0.006964,   0.000000,  -0.000000,  -0.060725,  -0.000000,   0.000000,   83.3300,   15.9799
   -2.000,     0.000,   0.048675,   0.000081,   0.006977,   0.007058,   0.000000,   0.000000,  -0.071472,  -0.000000,   0.000000,   83.3300,    1.9893
   -1.500,     0.000,   0.092196,   0.000279,   0.007022,   0.007301,  -0.000000,   0.000000,  -0.082228,  -0.000000,  -0.000000,   83.3300,    1.2073
   -1.000,     0.000,   0.135708,   0.000597,   0.007058,   0.007655,  -0.000000,   0.000000,  -0.092991,  -0.000000,   0.000000,   83.3300,    0.9268
   -0.500,     0.000,   0.179206,   0.001035,   0.007084,   0.008119,  -0.000000,   0.000000,  -0.103757,  -0.000000,   0.000000,   83.3300,    0.7826
    0.000,     0.000,   0.222682,   0.001594,   0.007099,   0.008692,  -0.000000,   0.000000,  -0.114524,  -0.000000,   0.000000,   83.3300,    0.6947
    0.500,     0.000,   0.266130,   0.002272,   0.007102,   0.009374,  -0.000000,   0.000000,  -0.125286,  -0.000000,  -0.000000,   83.3300,    0.6355
    1.000,     0.000,   0.309544,   0.003069,   0.007101,   0.010170,  -0.000000,   0.000000,  -0.136042,  -0.000000,  -0.000000,   83.3300,    0.5930
    1.500,     0.000,   0.352917,   0.003986,   0.007098,   0.011084,  -0.000000,   0.000000,  -0.146788,  -0.000000,   0.000000,   83.3300,    0.5610
    2.000,     0.000,   0.396244,   0.005021,   0.007092,   0.012113,  -0.000000,   0.000000,  -0.157520,  -0.000000,  -0.000000,   83.3300,    0.5360
    2.500,     0.000,   0.439517,   0.006174,   0.006992,   0.013165,   0.000000,   0.000000,  -0.168235,  -0.000000,  -0.000000,   83.3300,    0.5159
    3.000,     0.000,   0.482730,   0.007443,   0.006722,   0.014165,   0.000000,   0.000000,  -0.178927,  -0.000000,  -0.000000,   83.3300,    0.4995
