xflr5 v6.61

Plane name :, NACA 3213 No Flaps Cruise AR 9 and TR 0.75
Polar name :, AR9_andTR_point75_at_83_3_m_s_VLM2-2000_0kg
Freestream speed :, 83.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.036936,   0.000048,   0.006922,   0.006970,   0.000000,  -0.000000,  -0.050255,  -0.000000,   0.000000,   83.3300,   -1.9462
   -2.500,     0.000,   0.005564,   0.000004,   0.006927,   0.006931,  -0.000000,  -0.000000,  -0.060712,  -0.000000,  -0.000000,   83.3300,   15.5944
   -2.000,     0.000,   0.048069,   0.000087,   0.006943,   0.007030,  -0.000000,  -0.000000,  -0.071182,  -0.000000,   0.000000,   83.3300,    2.1144
   -1.500,     0.000,   0.090572,   0.000297,   0.006987,   0.007284,   0.000000,   0.000000,  -0.081660,  -0.000000,  -0.000000,   83.3300,    1.2863
   -1.000,     0.000,   0.133066,   0.000635,   0.007017,   0.007652,   0.000000,   0.000000,  -0.092145,  -0.000000,   0.000000,   83.3300,    0.9872
   -0.500,     0.000,   0.175546,   0.001099,   0.007038,   0.008136,   0.000000,   0.000000,  -0.102632,  -0.000000,   0.000000,   83.3300,    0.8329
    0.000,     0.000,   0.218004,   0.001690,   0.007049,   0.008738,   0.000000,   0.000000,  -0.113120,  -0.000000,   0.000000,   83.3300,    0.7387
    0.500,     0.000,   0.260434,   0.002407,   0.007051,   0.009458,   0.000000,   0.000000,  -0.123603,  -0.000000,  -0.000000,   83.3300,    0.6753
    1.000,     0.000,   0.302830,   0.003251,   0.007048,   0.010298,   0.000000,   0.000000,  -0.134080,  -0.000000,  -0.000000,   83.3300,    0.6296
    1.500,     0.000,   0.345184,   0.004220,   0.007045,   0.011265,   0.000000,   0.000000,  -0.144547,  -0.000000,   0.000000,   83.3300,    0.5952
    2.000,     0.000,   0.387491,   0.005314,   0.007042,   0.012356,   0.000000,   0.000000,  -0.155000,  -0.000000,   0.000000,   83.3300,    0.5684
    2.500,     0.000,   0.429744,   0.006532,   0.006996,   0.013528,   0.000000,   0.000000,  -0.165437,  -0.000000,  -0.000000,   83.3300,    0.5469
    3.000,     0.000,   0.471936,   0.007874,   0.006767,   0.014641,   0.000000,   0.000000,  -0.175852,  -0.000000,  -0.000000,   83.3300,    0.5292
    3.500,     0.000,   0.514061,   0.009339,   0.006536,   0.015875,   0.000000,   0.000000,  -0.186242,  -0.000000,   0.000000,   83.3300,    0.5145
    4.000,     0.000,   0.556113,   0.010925,   0.006366,   0.017291,   0.000000,   0.000000,  -0.196607,  -0.000000,   0.000000,   83.3300,    0.5020
    4.500,     0.000,   0.598084,   0.012632,   0.006240,   0.018872,   0.000000,   0.000000,  -0.206943,  -0.000000,   0.000000,   83.3300,    0.4913
    5.000,     0.000,   0.639970,   0.014458,   0.006128,   0.020586,   0.000000,   0.000000,  -0.217247,  -0.000000,  -0.000000,   83.3300,    0.4821
    5.500,     0.000,   0.681763,   0.016403,   0.006036,   0.022439,   0.000000,   0.000000,  -0.227515,  -0.000000,   0.000000,   83.3300,    0.4740
    6.000,     0.000,   0.723457,   0.018465,   0.005956,   0.024420,   0.000000,   0.000000,  -0.237745,  -0.000000,  -0.000000,   83.3300,    0.4669
    6.500,     0.000,   0.765046,   0.020641,   0.005899,   0.026541,   0.000000,   0.000000,  -0.247933,  -0.000000,   0.000000,   83.3300,    0.4606
    7.000,     0.000,   0.806524,   0.022932,   0.005894,   0.028827,   0.000000,   0.000000,  -0.258079,  -0.000000,  -0.000000,   83.3300,    0.4549
    7.500,     0.000,   0.847884,   0.025336,   0.005962,   0.031298,   0.000000,   0.000000,  -0.268178,  -0.000000,   0.000000,   83.3300,    0.4499
    8.000,     0.000,   0.889121,   0.027850,   0.006047,   0.033897,   0.000000,   0.000000,  -0.278229,  -0.000000,   0.000000,   83.3300,    0.4453
    8.500,     0.000,   0.930228,   0.030472,   0.006141,   0.036613,   0.000000,   0.000000,  -0.288225,  -0.000000,  -0.000000,   83.3300,    0.4412
    9.000,     0.000,   0.971199,   0.033202,   0.006232,   0.039434,   0.000000,   0.000000,  -0.298166,  -0.000000,  -0.000000,   83.3300,    0.4375
    9.500,     0.000,   1.012029,   0.036037,   0.006323,   0.042360,   0.000000,   0.000000,  -0.308046,  -0.000000,  -0.000000,   83.3300,    0.4341
   10.000,     0.000,   1.052711,   0.038975,   0.006418,   0.045393,   0.000000,   0.000000,  -0.317864,  -0.000000,  -0.000000,   83.3300,    0.4310
   10.500,     0.000,   1.093240,   0.042014,   0.006518,   0.048532,   0.000000,   0.000000,  -0.327617,  -0.000000,   0.000000,   83.3300,    0.4281
   11.000,     0.000,   1.133610,   0.045152,   0.006684,   0.051835,   0.000000,   0.000000,  -0.337305,  -0.000000,  -0.000000,   83.3300,    0.4255
   11.500,     0.000,   1.173815,   0.048386,   0.006870,   0.055255,   0.000000,   0.000000,  -0.346923,  -0.000000,   0.000000,   83.3300,    0.4231
   12.000,     0.000,   1.213849,   0.051714,   0.007063,   0.058777,   0.000000,   0.000000,  -0.356467,  -0.000000,   0.000000,   83.3300,    0.4208


