xflr5 v6.61

Plane name :, NACA 3213 No Flaps Cruise AR 10 and TR 0.75
Polar name :, AR10_andTR_point75_at_83_3_m_s_VLM2-2000_0kg
Freestream speed :, 83.3 m/s

alpha, Beta, CL, CDi, CDv, CD, CY, Cl, Cm, Cn, Cni, QInf, XCP
   -3.000,     0.000,  -0.038367,   0.000047,   0.006955,   0.007002,   0.000000,  -0.000000,  -0.049990,  -0.000000,  -0.000000,   83.3300,   -1.7681
   -2.500,     0.000,   0.005152,   0.000004,   0.006961,   0.006964,   0.000000,  -0.000000,  -0.060725,  -0.000000,   0.000000,   83.3300,   15.9789
   -2.000,     0.000,   0.048676,   0.000081,   0.006977,   0.007058,  -0.000000,   0.000000,  -0.071472,  -0.000000,   0.000000,   83.3300,    1.9890
   -1.500,     0.000,   0.092198,   0.000279,   0.007022,   0.007301,  -0.000000,   0.000000,  -0.082229,  -0.000000,   0.000000,   83.3300,    1.2071
   -1.000,     0.000,   0.135712,   0.000597,   0.007058,   0.007655,  -0.000000,   0.000000,  -0.092992,  -0.000000,   0.000000,   83.3300,    0.9267
   -0.500,     0.000,   0.179210,   0.001035,   0.007084,   0.008120,  -0.000000,   0.000000,  -0.103759,  -0.000000,   0.000000,   83.3300,    0.7825
    0.000,     0.000,   0.222688,   0.001593,   0.007099,   0.008692,  -0.000000,   0.000000,  -0.114525,  -0.000000,   0.000000,   83.3300,    0.6946
    0.500,     0.000,   0.266137,   0.002272,   0.007102,   0.009373,  -0.000000,   0.000000,  -0.125288,  -0.000000,   0.000000,   83.3300,    0.6354
    1.000,     0.000,   0.309553,   0.003069,   0.007101,   0.010170,  -0.000000,   0.000000,  -0.136045,  -0.000000,  -0.000000,   83.3300,    0.5929
    1.500,     0.000,   0.352928,   0.003986,   0.007098,   0.011084,  -0.000000,   0.000000,  -0.146791,  -0.000000,  -0.000000,   83.3300,    0.5609
    2.000,     0.000,   0.396255,   0.005020,   0.007092,   0.012112,  -0.000000,   0.000000,  -0.157523,  -0.000000,  -0.000000,   83.3300,    0.5359
    2.500,     0.000,   0.439530,   0.006173,   0.006992,   0.013165,   0.000000,   0.000000,  -0.168238,  -0.000000,   0.000000,   83.3300,    0.5158
    3.000,     0.000,   0.482744,   0.007442,   0.006722,   0.014164,   0.000000,   0.000000,  -0.178931,  -0.000000,   0.000000,   83.3300,    0.4994
    3.500,     0.000,   0.525892,   0.008828,   0.006504,   0.015333,   0.000000,   0.000000,  -0.189600,  -0.000000,  -0.000000,   83.3300,    0.4857
    4.000,     0.000,   0.568968,   0.010329,   0.006353,   0.016682,   0.000000,   0.000000,  -0.200243,  -0.000000,  -0.000000,   83.3300,    0.4741
    4.500,     0.000,   0.611965,   0.011944,   0.006229,   0.018174,   0.000000,   0.000000,  -0.210856,  -0.000000,  -0.000000,   83.3300,    0.4642
    5.000,     0.000,   0.654877,   0.013673,   0.006117,   0.019790,   0.000000,   0.000000,  -0.221436,  -0.000000,   0.000000,   83.3300,    0.4556
    5.500,     0.000,   0.697697,   0.015513,   0.006029,   0.021542,   0.000000,   0.000000,  -0.231980,  -0.000000,   0.000000,   83.3300,    0.4480
    6.000,     0.000,   0.740420,   0.017464,   0.005955,   0.023419,   0.000000,   0.000000,  -0.242485,  -0.000000,  -0.000000,   83.3300,    0.4414
    6.500,     0.000,   0.783039,   0.019524,   0.005928,   0.025452,   0.000000,   0.000000,  -0.252949,  -0.000000,   0.000000,   83.3300,    0.4355
    7.000,     0.000,   0.825549,   0.021693,   0.005961,   0.027653,   0.000000,   0.000000,  -0.263368,  -0.000000,  -0.000000,   83.3300,    0.4303
    7.500,     0.000,   0.867942,   0.023967,   0.006038,   0.030005,   0.000000,   0.000000,  -0.273740,  -0.000000,   0.000000,   83.3300,    0.4256
    8.000,     0.000,   0.910214,   0.026347,   0.006138,   0.032485,   0.000000,   0.000000,  -0.284062,  -0.000000,  -0.000000,   83.3300,    0.4214
    8.500,     0.000,   0.952357,   0.028830,   0.006238,   0.035068,   0.000000,   0.000000,  -0.294329,  -0.000000,  -0.000000,   83.3300,    0.4175
    9.000,     0.000,   0.994367,   0.031414,   0.006341,   0.037754,   0.000000,   0.000000,  -0.304538,  -0.000000,  -0.000000,   83.3300,    0.4140
    9.500,     0.000,   1.036237,   0.034097,   0.006440,   0.040537,   0.000000,   0.000000,  -0.314686,  -0.000000,  -0.000000,   83.3300,    0.4108
   10.000,     0.000,   1.077961,   0.036878,   0.006542,   0.043421,   0.000000,   0.000000,  -0.324770,  -0.000000,  -0.000000,   83.3300,    0.4079
   10.500,     0.000,   1.119534,   0.039755,   0.006672,   0.046427,   0.000000,   0.000000,  -0.334789,  -0.000000,  -0.000000,   83.3300,    0.4053
   11.000,     0.000,   1.160950,   0.042725,   0.006867,   0.049592,   0.000000,   0.000000,  -0.344741,  -0.000000,  -0.000000,   83.3300,    0.4028
   11.500,     0.000,   1.202203,   0.045787,   0.007045,   0.052832,   0.000000,   0.000000,  -0.354619,  -0.000000,  -0.000000,   83.3300,    0.4006
   12.000,     0.000,   1.243287,   0.048938,   0.007282,   0.056220,   0.000000,   0.000000,  -0.364424,  -0.000000,  -0.000000,   83.3300,    0.3985


